,Player,shirt_number,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks
7841,Illan Meslier ,1,FRA,GK,23-016,90,0,0,0,0,0,0,1,0,35,0,0,0
7842,Ivan Toney ,17,ENG,FW,27-002,90,0,0,0,0,2,0,0,0,30,1,0,0
7843,Yoane Wissa ,11,COD,LW,26-196,60,0,0,0,0,1,1,0,0,24,0,0,0
7844,   Kevin Schade ,9,GER,"RW,CM",21-111,30,0,0,0,0,0,0,0,0,10,0,0,0
7845,Bryan Mbeumo ,19,CMR,"RW,LW",23-223,89,0,0,0,0,3,0,0,0,56,1,0,0
7846,   Pontus Jansson ,18,SWE,CB,32-033,1,0,0,0,0,0,0,0,0,0,0,0,0
7847,Mathias Jensen ,8,DEN,LM,27-076,74,1,0,0,0,1,1,0,0,54,2,2,1
7848,   Shandon Baptiste ,26,GRN,LM,24-344,15,0,0,0,0,0,0,2,1,11,0,0,0
7849,Christian Nørgaard ,6,DEN,CM,29-008,90,0,0,0,0,0,0,1,0,72,4,2,3
7850,Mikkel Damsgaard ,24,DEN,RM,22-258,60,0,0,0,0,1,0,0,0,42,2,0,0
7851,   Josh Dasilva ,10,ENG,"RM,CM",24-146,30,0,0,0,0,0,0,0,0,28,0,1,1
7852,Rico Henry ,3,ENG,LB,25-253,90,0,0,0,0,3,0,0,0,66,2,0,0
7853,Ben Mee ,16,ENG,CB,33-178,90,0,0,0,0,0,0,0,0,79,3,1,1
7854,Ethan Pinnock ,5,JAM,CB,29-293,90,0,0,0,0,0,0,0,0,69,2,0,3
7855,Aaron Hickey ,2,SCO,RB,20-281,90,0,0,0,0,0,0,0,0,64,5,1,1
7856,David Raya ,1,ESP,GK,27-184,90,0,0,0,0,0,0,0,0,45,0,1,0
7857,Patson Daka ,20,ZAM,FW,24-160,65,0,0,0,0,3,0,0,0,18,0,0,0
7858,   Jamie Vardy ,9,ENG,FW,36-066,25,0,0,0,0,0,0,0,0,7,0,0,0
7859,Harvey Barnes ,7,ENG,LW,25-099,90,1,0,0,0,4,1,0,0,42,0,0,1
7860,Tetê ,37,BRA,RW,23-031,65,0,0,0,0,1,0,0,0,21,2,0,1
7861,   Dennis Praet ,26,BEL,RW,28-308,25,0,0,0,0,0,0,0,0,13,0,1,0
